INCWAGE,     0, 19999,"a--k0"
INCWAGE, 20000, 39999,"b--k20"
INCWAGE, 40000, 59999,"c--k40"
INCWAGE, 60000, 79999,"d--k60"
INCWAGE, 80000, 99999,"e--k80"
INCWAGE,100000,119999,"f--k100"
INCWAGE,120000,139999,"g--k120"
INCWAGE,140000,159999,"h--k140"
INCWAGE,160000,179999,"i--k160"
INCWAGE,180000,199999,"j--k180"
INCWAGE,200000,219999,"k--k200"
INCWAGE,220000,239999,"l--k220"
INCWAGE,240000,259999,"m--k240"
INCWAGE,260000,279999,"n--k260"
INCWAGE,280000,299999,"o--k280"
INCWAGE,300000,319999,"p--k300"
INCWAGE,320000,339999,"q--k320"
INCWAGE,340000,359999,"r--k340"
INCWAGE,360000,379999,"s--k360"
INCWAGE,380000,399999,"t--k380"
INCWAGE,400000,9999999,"u--k400-plus"
